Estado,Biden,Trump,Mesas Procesadas
Alabama,843473,1434159,99%
Alaska,115543,160193,78%
Arizona,1663460,1651924,99%
Arkansas,418064,757068,99%
California,10371239,5462158,96%
Colorado,1783153,1347542,97%
Connecticut,1079168,714176,98%
Delaware,296268,200603,99%
District of Columbia,285728,16306,88%
Florida,5294767,5667474,99%
Georgia,2471982,2457925,99%
Hawaii,365802,196602,99%
Idaho,286991,554019,99%
Illinois,3351012,2407096,96%
Indiana,1239939,1727865,99%
Iowa,758416,897149,98%
Kansas,551199,753370,99%
Kentucky,772223,1326347,98%
Louisiana,856034,1255776,99%
Maine,420357,341949,91%
Maryland,1772054,919467,88%
Massachusetts,2271763,1131042,93%
Michigan,2795649,2647004,99%
Minnesota,1718739,1485345,99%
Mississippi,452795,688745,97%
Missouri,1242851,1711848,99%
Montana,244783,343590,99%
Nebraska,368994,551499,99%
Nevada,671955,635089,98%
New Hampshire,424937,365660,99%
New Jersey,2345158,1692031,91%
New Mexico,499378,401197,99%
New York,3710478,2856462,84%
North Carolina,2664244,2737488,98%
North Dakota,114901,235585,99%
Ohio,2603677,3074400,95%
Oklahoma,503890,1020280,99%
Oregon,1327971,948233,98%
Pennsylvania,3391382,3337398,99%
Rhode Island,306113,199810,99%
South Carolina,1091541,1385103,99%
South Dakota,150471,261043,99%
Tennessee,1139376,1849820,99%
Texas,5218943,5866019,99%
Utah,546604,837509,99%
Vermont,242841,112591,99%
Virginia,2413342,1962695,99%
Washington,2345224,1560749,98%
West Virginia,234197,542670,99%
Wisconsin,1630619,1610073,99%
Wyoming,73491,193559,99%
